i,Max,Total,Free,Used (total-free),Object
1,104857600,104857600,102802032,2055568,40016
2,104857600,104857600,102762016,2095584,40016
3,104857600,104857600,102720432,2137168,41584
4,104857600,104857600,102238064,2619536,482368
5,104857600,104857600,102198048,2659552,40016
6,104857600,104857600,102158032,2699568,40016
7,104857600,104857600,102118016,2739584,40016
8,104857600,104857600,102078000,2779600,40016
9,104857600,104857600,102037984,2819616,40016
10,104857600,104857600,101997968,2859632,40016
11,104857600,104857600,101957952,2899648,40016
12,104857600,104857600,101917936,2939664,40016
13,104857600,104857600,101877920,2979680,40016
14,104857600,104857600,101837904,3019696,40016
15,104857600,104857600,101797888,3059712,40016
16,104857600,104857600,101757872,3099728,40016
17,104857600,104857600,101717856,3139744,40016
18,104857600,104857600,101677840,3179760,40016
19,104857600,104857600,101637824,3219776,40016
20,104857600,104857600,101597808,3259792,40016
21,104857600,104857600,101557792,3299808,40016
22,104857600,104857600,101517776,3339824,40016
23,104857600,104857600,101477760,3379840,40016
24,104857600,104857600,101437744,3419856,40016
25,104857600,104857600,101397728,3459872,40016
26,104857600,104857600,101357712,3499888,40016
27,104857600,104857600,101317696,3539904,40016
28,104857600,104857600,100795336,4062264,522360
29,104857600,104857600,100669280,4188320,126056
30,104857600,104857600,100629264,4228336,40016
31,104857600,104857600,100100920,4756680,528344
32,104857600,104857600,99614720,5242880,486200
33,104857600,104857600,99574704,5282896,40016
34,104857600,104857600,99092336,5765264,482368
35,104857600,104857600,99052320,5805280,40016
36,104857600,104857600,99012304,5845296,40016
37,104857600,104857600,98972288,5885312,40016
38,104857600,104857600,98932272,5925328,40016
39,104857600,104857600,98892256,5965344,40016
40,104857600,104857600,98852240,6005360,40016
41,104857600,104857600,98812224,6045376,40016
42,104857600,104857600,98772208,6085392,40016
43,104857600,104857600,98732192,6125408,40016
44,104857600,104857600,98692176,6165424,40016
45,104857600,104857600,98652160,6205440,40016
46,104857600,104857600,98612144,6245456,40016
47,104857600,104857600,98572128,6285472,40016
48,104857600,104857600,98532112,6325488,40016
49,104857600,104857600,98492096,6365504,40016
50,104857600,104857600,98452080,6405520,40016
51,104857600,104857600,98412064,6445536,40016
52,104857600,104857600,98372048,6485552,40016
53,104857600,104857600,98332032,6525568,40016
54,104857600,104857600,98292016,6565584,40016
55,104857600,104857600,98252000,6605600,40016
56,104857600,104857600,98211984,6645616,40016
57,104857600,104857600,98171968,6685632,40016
58,104857600,104857600,97649608,7207992,522360
59,104857600,104857600,97523552,7334048,126056
